market,period,window,horizon,tail_prob,x,y,n,pearson,spearman,spearman_p
bonds,baseline_2018,252,21,0.05,current_hill_alpha,future_es,88,-0.05547633011878169,-0.023413552772934037,0.8285763514552775
bonds,baseline_2018,252,21,0.05,current_hill_alpha,future_var,88,-0.09937616706966507,-0.03552552984696876,0.7424597597056823
bonds,baseline_2018,252,21,0.05,current_hill_alpha,future_rv_ann,88,-0.09587619750662303,-0.02771220354539145,0.7977225176091233
bonds,baseline_2018,252,21,0.05,current_hill_alpha,future_mdd,88,-0.11141597542829729,-0.09833163641996336,0.36205579867539317
bonds,baseline_2018,252,21,0.05,current_hill_alpha,future_tail_event,88,-0.14153831494891883,-0.1446985829505153,0.17860086462791575
bonds,baseline_2018,252,21,0.05,n_assets,future_es,88,0.03274625713333943,-0.029768393862842656,0.7830700325119394
bonds,baseline_2018,252,21,0.05,n_assets,future_var,88,0.061142495896892586,0.024961530263678724,0.8174330574977635
bonds,baseline_2018,252,21,0.05,n_assets,future_rv_ann,88,0.032526584565763204,-0.09384364163646955,0.3844832186780194
bonds,baseline_2018,252,21,0.05,n_assets,future_mdd,88,0.049009774040975944,0.0022692300239707925,0.9832592833965343
bonds,baseline_2018,252,21,0.05,n_assets,future_tail_event,88,0.022530295452966517,-0.017426881279222803,0.8719725886351034
bonds,baseline_2018,252,21,0.05,future_es,future_var,88,0.8252361569962198,0.9279525201648411,1.2643303763122072e-38
bonds,baseline_2018,252,21,0.05,future_es,future_rv_ann,88,0.9470895439464102,0.875030819625938,7.794613286095914e-29
bonds,baseline_2018,252,21,0.05,future_es,future_mdd,88,0.9214277673427889,0.8893311260610758,5.720225256503617e-31
bonds,baseline_2018,252,21,0.05,future_es,future_tail_event,88,0.5186035781014595,0.751987873128827,3.0737984750653893e-17
bonds,baseline_2018,252,21,0.05,future_var,future_rv_ann,88,0.8134722758978087,0.8050438519249059,3.320703001406261e-21
bonds,baseline_2018,252,21,0.05,future_var,future_mdd,88,0.8321268791408946,0.8935402064034379,1.1826692690944678e-31
bonds,baseline_2018,252,21,0.05,future_var,future_tail_event,88,0.5744073493423401,0.726831767456656,1.0862787175230943e-15
bonds,baseline_2018,252,21,0.05,future_rv_ann,future_mdd,88,0.8774612936937054,0.7323799795709909,5.1224678510987785e-16
bonds,baseline_2018,252,21,0.05,future_rv_ann,future_tail_event,88,0.5187335924444268,0.656754044512751,3.70569843083439e-12
bonds,baseline_2018,252,21,0.05,future_mdd,future_tail_event,88,0.4940261883999037,0.7439019820199149,1.0114198075873495e-16
bonds,baseline_2018,252,63,0.025,dq_es,dr_es_concentration,86,0.8746661880522824,0.8482503323607479,6.597135462582602e-25
bonds,baseline_2018,252,63,0.025,dq_es,current_es,86,0.46323680876177364,0.13628217665861153,0.21086804580473403
bonds,baseline_2018,252,63,0.025,dq_es,current_rv_ann,86,0.40004487348244944,0.08836257435621286,0.4184955101142749
bonds,baseline_2018,252,63,0.025,dq_es,current_hill_alpha,86,-0.5246426785554135,-0.5601216904526244,2.053125146211359e-08
bonds,baseline_2018,252,63,0.025,dq_es,n_assets,86,0.16779135696359948,0.12973503216337107,0.2338314071650923
bonds,baseline_2018,252,63,0.025,dq_es,future_es,86,-0.10418984795648634,-0.24690095518960598,0.021919260351529055
bonds,baseline_2018,252,63,0.025,dq_es,future_var,86,-0.26331513622659575,-0.3443780993889043,0.0011670147822679417
bonds,baseline_2018,252,63,0.025,dq_es,future_rv_ann,86,-0.1488588042999443,-0.2881491492114602,0.007136609993342939
bonds,baseline_2018,252,63,0.025,dq_es,future_mdd,86,-0.05536855669700399,-0.0001281748028840344,0.9990654775203616
bonds,baseline_2018,252,63,0.025,dq_es,future_tail_event,86,0.22317979973718874,0.19850557872788907,0.06692064868170344
bonds,baseline_2018,252,63,0.025,dr_es_concentration,current_es,86,0.5089676795056923,0.2797204474039118,0.009097955816269467
bonds,baseline_2018,252,63,0.025,dr_es_concentration,current_rv_ann,86,0.4232569738077817,0.2121703853955375,0.04985737511195523
bonds,baseline_2018,252,63,0.025,dr_es_concentration,current_hill_alpha,86,-0.49006899397432674,-0.5852056816801444,3.270056863999525e-09
