market,period,window,horizon,tail_prob,variable,aux_r2,vif
shares,full_2015,252,21,0.05,current_rv_ann,0.9776787775440408,44.80041368581152
shares,full_2015,252,21,0.05,current_hill_alpha,0.5446509831914941,2.1961176220581224
shares,full_2015,252,21,0.05,n_assets,-inf,0.0
shares,full_2015,252,63,0.025,dq_es,0.923817604755955,13.126392216949458
shares,full_2015,252,63,0.025,dr_es_concentration,0.8373068597008569,6.146540648003382
shares,full_2015,252,63,0.025,current_es,0.9920514388003021,125.80893256983518
shares,full_2015,252,63,0.025,current_rv_ann,0.9821827918743493,56.125516015067596
shares,full_2015,252,63,0.025,current_hill_alpha,0.6209220213301783,2.637979667162369
shares,full_2015,252,63,0.025,n_assets,-inf,0.0
shares,full_2015,252,63,0.05,dq_es,0.82911516852169,5.8518944680407605
shares,full_2015,252,63,0.05,dr_es_concentration,0.8805803662956295,8.373832417503072
shares,full_2015,252,63,0.05,current_es,0.988514479770217,87.06614763577788
shares,full_2015,252,63,0.05,current_rv_ann,0.9777184162644876,44.88011318541065
shares,full_2015,252,63,0.05,current_hill_alpha,0.5383786808730582,2.1662777661380255
shares,full_2015,252,63,0.05,n_assets,-inf,0.0
shares,full_2015,504,21,0.025,dq_es,0.955190473829402,22.31668320242484
shares,full_2015,504,21,0.025,dr_es_concentration,0.8948687367141464,9.511918422220262
shares,full_2015,504,21,0.025,current_es,0.9916421254611278,119.64764430825541
shares,full_2015,504,21,0.025,current_rv_ann,0.988680124734778,88.34019603310394
shares,full_2015,504,21,0.025,current_hill_alpha,0.9242817316680554,13.206852481306841
shares,full_2015,504,21,0.025,n_assets,-inf,0.0
shares,full_2015,504,21,0.05,dq_es,0.9731386171481677,37.228165262972986
shares,full_2015,504,21,0.05,dr_es_concentration,0.9632431857155737,27.205839773325906
shares,full_2015,504,21,0.05,current_es,0.9876542336895177,80.99942724097542
shares,full_2015,504,21,0.05,current_rv_ann,0.98304658562252,58.98516828140215
shares,full_2015,504,21,0.05,current_hill_alpha,0.9468129719510578,18.801576938643954
shares,full_2015,504,21,0.05,n_assets,-inf,0.0
shares,full_2015,504,63,0.025,dq_es,0.9547172304541497,22.083454921799046
shares,full_2015,504,63,0.025,dr_es_concentration,0.8974292324427972,9.7493664502638
shares,full_2015,504,63,0.025,current_es,0.9918065414558654,122.04858236768268
shares,full_2015,504,63,0.025,current_rv_ann,0.9888896688935714,90.00631848148872
shares,full_2015,504,63,0.025,current_hill_alpha,0.9197599766375207,12.4626085349273
shares,full_2015,504,63,0.025,n_assets,-inf,0.0
shares,full_2015,504,63,0.05,dq_es,0.9741350319128009,38.66233264346898
shares,full_2015,504,63,0.05,dr_es_concentration,0.9651293072579548,28.677376942220963
shares,full_2015,504,63,0.05,current_es,0.9879954537472686,83.3017740901677
shares,full_2015,504,63,0.05,current_rv_ann,0.9836326612864977,61.09728756178597
shares,full_2015,504,63,0.05,current_hill_alpha,0.9451602030327468,18.234932572728823
shares,full_2015,504,63,0.05,n_assets,-inf,0.0
shares,post_2024,252,21,0.025,dq_es,-inf,0.0
shares,post_2024,252,21,0.025,dr_es_concentration,0.8202930643132388,5.564615501223911
shares,post_2024,252,21,0.025,current_es,0.8899649833181851,9.088016071208232
shares,post_2024,252,21,0.025,current_rv_ann,0.8012142158244867,5.030540811293997
shares,post_2024,252,21,0.025,current_hill_alpha,0.6343863864240131,2.7351279133706714
shares,post_2024,252,21,0.025,n_assets,-inf,0.0
shares,post_2024,252,21,0.05,dq_es,0.6639546186756962,2.9757885558764468
shares,post_2024,252,21,0.05,dr_es_concentration,0.961719039915068,26.12264681401281
shares,post_2024,252,21,0.05,current_es,0.9696703275167924,32.97101215166969
shares,post_2024,252,21,0.05,current_rv_ann,0.8375923434602293,6.157345172671202
shares,post_2024,252,21,0.05,current_hill_alpha,0.670680216423087,3.0365621801960425
shares,post_2024,252,21,0.05,n_assets,-inf,0.0
shares,post_2024,252,63,0.025,dq_es,-104.19642857142857,0.009506026141571889
shares,post_2024,252,63,0.025,dr_es_concentration,0.7635252218609265,4.228780793746591
shares,post_2024,252,63,0.025,current_es,0.8836525562270575,8.59494603037044
shares,post_2024,252,63,0.025,current_rv_ann,0.7550283191648599,4.082104497102975
shares,post_2024,252,63,0.025,current_hill_alpha,0.6704626530771394,3.0345574161404043
shares,post_2024,252,63,0.025,n_assets,-inf,0.0
shares,post_2024,252,63,0.05,dq_es,0.6697409848621609,3.0279264279360656
shares,post_2024,252,63,0.05,dr_es_concentration,0.9665573392671483,29.90192700240713
shares,post_2024,252,63,0.05,current_es,0.9766108587804415,42.75488315765007
shares,post_2024,252,63,0.05,current_rv_ann,0.8698536059404065,7.68365506571088
shares,post_2024,252,63,0.05,current_hill_alpha,0.6802485286842419,3.127428924361349
shares,post_2024,252,63,0.05,n_assets,-inf,0.0
shares,shock_2022_2023,252,21,0.025,dq_es,0.9884153845234823,86.32138045729928
shares,shock_2022_2023,252,21,0.025,dr_es_concentration,0.9686272890098553,31.87483543625336
shares,shock_2022_2023,252,21,0.025,current_es,0.9995197850066723,2082.4006203353383
shares,shock_2022_2023,252,21,0.025,current_rv_ann,0.9993259274975056,1483.519942290333
shares,shock_2022_2023,252,21,0.025,current_hill_alpha,0.939390792561241,16.49914331927908
shares,shock_2022_2023,252,21,0.025,n_assets,-inf,0.0
shares,shock_2022_2023,252,21,0.05,dq_es,0.9807600774960794,51.97526132427125
shares,shock_2022_2023,252,21,0.05,dr_es_concentration,0.9117041827176069,11.325564797726924
shares,shock_2022_2023,252,21,0.05,current_es,0.9973694242513829,380.1449171443508
shares,shock_2022_2023,252,21,0.05,current_rv_ann,0.9968643566694041,318.91382232237413
shares,shock_2022_2023,252,21,0.05,current_hill_alpha,0.9679219355754771,31.173950733621105
shares,shock_2022_2023,252,21,0.05,n_assets,-inf,0.0
